licence_group,source
44112,Ghana
44112,Greece
44112,"Guinea, Republic of"
44112,Hungary
44112,Israel
44112,Italy
44112,Kenya
44112,Mauritania
44112,Morocco
44112,Mozambique
44112,Namibia
44112,Netherlands
44112,Nigeria
44112,Norway
44112,Poland
44112,Portugal
44112,"Republic of Congo"
44112,Romania
44112,Senegal
44112,Slovenia
44112,"South Africa"
44112,Spain
44112,Switzerland
44112,Tanzania
44112,Turkey
44112,Uganda
44112,Ukraine
44112,"United States of America"
44113,Angola
44113,Austria
44113,Botswana
44113,Bulgaria
44113,Cameroon
44113,Chad
44113,Denmark
44113,"Equatorial Guinea"
44113,France
44113,Gabon
44113,Germany
44113,Ghana
44113,Greece
44113,"Guinea, Republic of"
44113,Hungary
44113,Israel
44113,Italy
44113,Kenya
44113,Mauritania
44113,Morocco
44113,Mozambique
44113,Namibia
44113,Netherlands
44113,Nigeria
44113,Norway
44113,Poland
44113,Portugal
44113,"Republic of Congo"
44113,Romania
44113,Senegal
44113,Slovenia
44113,"South Africa"
44113,Spain
44113,Switzerland
44113,Tanzania
44113,Turkey
44113,Uganda
44113,Ukraine
44113,"United States of America"
44114,Angola
44114,Austria
44114,Botswana
44114,Bulgaria
44114,Cameroon
44114,Chad
44114,Denmark
44114,"Equatorial Guinea"
44114,France
44114,Gabon
44114,Germany
44114,Ghana
44114,Greece
44114,"Guinea, Republic of"
44114,Hungary
44114,Israel
44114,Italy
44114,Kenya
44114,Mauritania
44114,Morocco
44114,Mozambique
44114,Namibia
44114,Netherlands
44114,Nigeria
44114,Norway
44114,Poland
44114,Portugal
44114,"Republic of Congo"
44114,Romania
44114,Senegal
44114,Slovenia
44114,"South Africa"
44114,Spain
44114,Switzerland
44114,Tanzania
44114,Turkey
44114,Uganda
44114,Ukraine
44114,"United States of America"
44115,Angola
44115,Austria
44115,Botswana
44115,Bulgaria
44115,Cameroon
44115,Chad
44115,Denmark
44115,"Equatorial Guinea"
44115,France
44115,Gabon
44115,Germany
44115,Ghana
44115,Greece
44115,"Guinea, Republic of"
44115,Hungary
44115,Israel
44115,Italy
44115,Kenya
44115,Mauritania
44115,Morocco
44115,Mozambique
44115,Namibia
44115,Netherlands
44115,Nigeria
44115,Norway
44115,Poland
44115,Portugal
44115,"Republic of Congo"
44115,Romania
44115,Senegal
44115,Slovenia
44115,"South Africa"
44115,Spain
44115,Switzerland
44115,Tanzania
44115,Turkey
44115,Uganda
44115,Ukraine
44115,"United States of America"
44116,Angola
44116,Austria
44116,Botswana
44116,Bulgaria
44116,Cameroon
44116,Chad
44116,Denmark
44116,"Equatorial Guinea"
44116,France
44116,Gabon
44116,Germany
44116,Ghana
44116,Greece
44116,"Guinea, Republic of"
44116,Hungary
44116,Israel
44116,Italy
44116,Kenya
44116,Mauritania
44116,Morocco
44116,Mozambique
44116,Namibia
44116,Netherlands
44116,Nigeria
44116,Norway
44116,Poland
44116,Portugal
44116,"Republic of Congo"
44116,Romania
44116,Senegal
44116,Slovenia
44116,"South Africa"
44116,Spain
44116,Switzerland
44116,Tanzania
44116,Turkey
44116,Uganda
44116,Ukraine
44116,"United States of America"
44117,Angola
44117,Austria
44117,Botswana
44117,Bulgaria
44117,Cameroon
44117,Chad
44117,Denmark
44117,"Equatorial Guinea"
44117,France
44117,Gabon
44117,Germany
44117,Ghana
44117,Greece
44117,"Guinea, Republic of"
44117,Hungary
44117,Israel
44117,Italy
44117,Kenya
44117,Mauritania
44117,Morocco
44117,Mozambique
44117,Namibia
44117,Netherlands
44117,Nigeria
44117,Norway
44117,Poland
44117,Portugal
44117,"Republic of Congo"
44117,Romania
44117,Senegal
44117,Slovenia
44117,"South Africa"
44117,Spain
44117,Switzerland
44117,Tanzania
44117,Turkey
44117,Uganda
44117,Ukraine
44117,"United States of America"
44118,Angola
44118,Austria
44118,Botswana
44118,Bulgaria
44118,Cameroon
44118,Chad
44118,Denmark
44118,"Equatorial Guinea"
44118,France
44118,Gabon
44118,Germany
44118,Ghana
44118,Greece
44118,"Guinea, Republic of"
44118,Hungary
44118,Israel
44118,Italy
44118,Kenya
44118,Mauritania
44118,Morocco
44118,Mozambique
44118,Namibia
44118,Netherlands
44118,Nigeria
44118,Norway
44118,Poland
44118,Portugal
44118,"Republic of Congo"
44118,Romania
44118,Senegal
44118,Slovenia
44118,"South Africa"
44118,Spain
44118,Switzerland
44118,Tanzania
44118,Turkey
44118,Uganda
44118,Ukraine
44118,"United States of America"
44119,Angola
44119,Austria
44119,Botswana
44119,Bulgaria
44119,Cameroon
44119,Chad
44119,Denmark
44119,"Equatorial Guinea"
44119,France
44119,Gabon
44119,Germany
44119,Ghana
44119,Greece
44119,"Guinea, Republic of"
44119,Hungary
44119,Israel
44119,Italy
44119,Kenya
44119,Mauritania
44119,Morocco
44119,Mozambique
44119,Namibia
44119,Netherlands
44119,Nigeria
44119,Norway
44119,Poland
44119,Portugal
44119,"Republic of Congo"
44119,Romania
44119,Senegal
44119,Slovenia
44119,"South Africa"
44119,Spain
44119,Switzerland
44119,Tanzania
44119,Turkey
44119,Uganda
44119,Ukraine
44119,"United States of America"
44120,Angola
44120,Austria
44120,Botswana
44120,Bulgaria
44120,Cameroon
44120,Chad
44120,Denmark
44120,"Equatorial Guinea"
44120,France
44120,Gabon
44120,Germany
44120,Ghana
44120,Greece
44120,"Guinea, Republic of"
44120,Hungary
44120,Israel
44120,Italy
44120,Kenya
44120,Mauritania
44120,Morocco
44120,Mozambique
44120,Namibia
44120,Netherlands
44120,Nigeria
44120,Norway
44120,Poland
44120,Portugal
44120,"Republic of Congo"
44120,Romania
44120,Senegal
44120,Slovenia
44120,"South Africa"
44120,Spain
44120,Switzerland
44120,Tanzania
44120,Turkey
44120,Uganda
44120,Ukraine
44120,"United States of America"
44121,Angola
44121,Austria
44121,Botswana
44121,Bulgaria
44121,Cameroon
44121,Chad
44121,Denmark
44121,"Equatorial Guinea"
44121,France
44121,Gabon
44121,Germany
44121,Ghana
44121,Greece
44121,"Guinea, Republic of"
44121,Hungary
44121,Israel
44121,Italy
44121,Kenya
44121,Mauritania
44121,Morocco
44121,Mozambique
44121,Namibia
44121,Netherlands
44121,Nigeria
44121,Norway
44121,Poland
44121,Portugal
44121,"Republic of Congo"
44121,Romania
44121,Senegal
44121,Slovenia
44121,"South Africa"
44121,Spain
44121,Switzerland
44121,Tanzania
44121,Turkey
44121,Uganda
44121,Ukraine
44121,"United States of America"
44122,Angola
44122,Austria
44122,Botswana
44122,Bulgaria
44122,Cameroon
44122,Chad
44122,Denmark
44122,"Equatorial Guinea"
44122,France
44122,Gabon
44122,Germany
44122,Ghana
44122,Greece
44122,"Guinea, Republic of"
44122,Hungary
44122,Israel
44122,Italy
44122,Kenya
44122,Mauritania
44122,Morocco
44122,Mozambique
44122,Namibia
44122,Netherlands
44122,Nigeria
44122,Norway
44122,Poland
44122,Portugal
44122,"Republic of Congo"
44122,Romania
44122,Senegal
44122,Slovenia
44122,"South Africa"
44122,Spain
44122,Switzerland
44122,Tanzania
44122,Turkey
44122,Uganda
44122,Ukraine
44122,"United States of America"
44123,"Saudi Arabia"
44123,France
44123,"South Africa"
44123,"United States of America"
44123,Spain
44124,Brunei
44125,Brunei
44126,Malaysia
44126,Singapore
44126,Germany
44127,Brunei
44128,"United States of America"
44129,"United States of America"
44130,Brunei
44131,"United States of America"
44132,"United States of America"
44133,"United States of America"
44134,"South Africa"
44135,"South Africa"
44136,"South Africa"
44137,"South Africa"
44138,"South Africa"
44139,"South Africa"
44140,"South Africa"
44141,"South Africa"
44142,"South Africa"
44143,"South Africa"
44144,"South Africa"
44145,"South Africa"
44146,"South Africa"
44147,"South Africa"
44148,"South Africa"
44149,"South Africa"
44150,"South Africa"
44151,"South Africa"
44152,"South Africa"
44153,"South Africa"
44154,"South Africa"
44155,"South Africa"
44156,"South Africa"
44157,Jordan
44158,Jordan
44159,Jordan
44160,Jordan
44161,Jordan
44162,Jordan
44163,Jordan
44164,Jordan
44165,"United States of America"
44166,"South Africa"
44167,"South Africa"
44168,"South Africa"
44169,"South Africa"
44170,"South Africa"
44171,"Non Specific Country"
44172,"Non Specific Country"
44173,"Non Specific Country"
44174,Malaysia
44174,France
44175,Malaysia
44175,France
44176,Malaysia
44176,France
44177,Malaysia
44177,France
44178,Malaysia
44178,France
44179,Malaysia
44179,France
44180,Malaysia
44180,France
44181,Malaysia
44181,France
44182,Malaysia
44182,France
44183,Malaysia
44183,France
44184,Malaysia
44184,France
44185,Malaysia
44185,France
44186,Malaysia
44186,France
44187,Malaysia
44187,France
44188,Malaysia
44188,France
44189,Malaysia
44189,France
44190,Malaysia
44190,France
44191,Malaysia
44191,France
44192,Malaysia
44192,France
44193,Malaysia
44193,France
44194,"South Africa"
44195,"South Africa"
44196,"South Africa"
44197,"South Africa"
44198,"South Africa"
44199,"South Africa"
44200,"South Africa"
44201,"South Africa"
44202,"South Africa"
44203,"South Africa"
44204,Portugal
44205,"Non Specific Country"
44206,"Non Specific Country"
44207,Turkey
44208,"Non Specific Country"
44209,"Non Specific Country"
44210,France
44211,Qatar
44211,"United Arab Emirates"
44212,"United States of America"
44213,"Non Specific Country"
44214,Djibouti
44214,India
44214,Kenya
44214,Malta
44214,Mauritius
44214,Oman
44214,"South Africa"
44214,"Sri Lanka"
44214,Tanzania
44214,"United Arab Emirates"
44215,Djibouti
44215,India
44215,Kenya
44215,Malta
44215,Mauritius
44215,Oman
44215,"South Africa"
44215,"Sri Lanka"
44215,Tanzania
44215,"United Arab Emirates"
44216,Djibouti
44216,India
44216,Kenya
44216,Malta
44216,Mauritius
44216,Oman
44216,"South Africa"
44216,"Sri Lanka"
44216,Tanzania
44216,"United Arab Emirates"
44217,Djibouti
44217,India
44217,Kenya
44217,Malta
44217,Mauritius
44217,Oman
44217,"South Africa"
44217,"Sri Lanka"
44217,Tanzania
44217,"United Arab Emirates"
44218,Djibouti
44218,India
44218,Kenya
44218,Malta
44218,Mauritius
44218,Oman
44218,"South Africa"
44218,"Sri Lanka"
44218,Tanzania
44218,"United Arab Emirates"
44219,Djibouti
44219,India
44219,Kenya
44219,Malta
44219,Mauritius
44219,Oman
44219,"South Africa"
44219,"Sri Lanka"
44219,Tanzania
44219,"United Arab Emirates"
44220,Djibouti
44220,India
44220,Kenya
44220,Malta
44220,Mauritius
44220,Oman
44220,"South Africa"
44220,"Sri Lanka"
44220,Tanzania
44220,"United Arab Emirates"
44221,Djibouti
44221,India
44221,Kenya
44221,Malta
44221,Mauritius
44221,Oman
44221,"South Africa"
44221,"Sri Lanka"
44221,Tanzania
44221,"United Arab Emirates"
44222,Djibouti
44222,India
44222,Kenya
44222,Malta
44222,Mauritius
44222,Oman
44222,"South Africa"
44222,"Sri Lanka"
44222,Tanzania
44222,"United Arab Emirates"
44223,"Non Specific Country"
44224,"Non Specific Country"
44225,"Non Specific Country"
44226,"Non Specific Country"
44227,"Non Specific Country"
44228,"Non Specific Country"
44229,"Non Specific Country"
44230,Argentina
44230,Brazil
44230,Egypt
44230,Gibraltar
44230,"Hong Kong Special Administrative Region"
44230,India
44230,Kenya
44230,Madagascar
44230,Malaysia
44230,Maldives
44230,Malta
44230,Mauritius
44230,Mexico
44230,Netherlands
44230,Oman
44230,Philippines
44230,Qatar
44230,Seychelles
44230,"South Africa"
44230,"Sri Lanka"
44230,Tanzania
44230,Thailand
44230,"United States of America"
44231,Argentina
44231,Brazil
44231,Egypt
44231,Gibraltar
44231,"Hong Kong Special Administrative Region"
44231,India
44231,Kenya
44231,Madagascar
44231,Malaysia
44231,Maldives
44231,Malta
44231,Mauritius
44231,Mexico
44231,Netherlands
44231,Oman
44231,Philippines
44231,Qatar
44231,Seychelles
44231,"South Africa"
44231,"Sri Lanka"
44231,Tanzania
44231,Thailand
44231,"United States of America"
44232,Argentina
44232,Brazil
44232,Egypt
44232,Gibraltar
44232,"Hong Kong Special Administrative Region"
44232,India
44232,Kenya
44232,Madagascar
44232,Malaysia
44232,Maldives
44232,Malta
44232,Mauritius
44232,Mexico
44232,Netherlands
44232,Oman
44232,Philippines
44232,Qatar
44232,Seychelles
44232,"South Africa"
44232,"Sri Lanka"
44232,Tanzania
44232,Thailand
44232,"United States of America"
44233,Argentina
44233,Brazil
44233,Egypt
44233,Gibraltar
44233,"Hong Kong Special Administrative Region"
44233,India
44233,Kenya
44233,Madagascar
44233,Malaysia
44233,Maldives
44233,Malta
44233,Mauritius
44233,Mexico
44233,Netherlands
44233,Oman
44233,Philippines
44233,Qatar
44233,Seychelles
44233,"South Africa"
44233,"Sri Lanka"
44233,Tanzania
44233,Thailand
44233,"United States of America"
44234,Argentina
44234,Brazil
44234,Egypt
44234,Gibraltar
44234,"Hong Kong Special Administrative Region"
44234,India
44234,Kenya
44234,Madagascar
44234,Malaysia
44234,Maldives
44234,Malta
44234,Mauritius
44234,Mexico
44234,Netherlands
44234,Oman
44234,Philippines
44234,Qatar
44234,Seychelles
44234,"South Africa"
44234,"Sri Lanka"
44234,Tanzania
44234,Thailand
44234,"United States of America"
44235,Argentina
44235,Brazil
44235,Egypt
44235,Gibraltar
44235,"Hong Kong Special Administrative Region"
44235,India
44235,Kenya
44235,Madagascar
44235,Malaysia
44235,Maldives
44235,Malta
44235,Mauritius
44235,Mexico
44235,Netherlands
44235,Oman
44235,Philippines
44235,Qatar
44235,Seychelles
44235,"South Africa"
44235,"Sri Lanka"
44235,Tanzania
44235,Thailand
44235,"United States of America"
44236,Argentina
44236,Brazil
44236,Egypt
44236,Gibraltar
44236,"Hong Kong Special Administrative Region"
44236,India
44236,Kenya
44236,Madagascar
44236,Malaysia
44236,Maldives
44236,Malta
44236,Mauritius
44236,Mexico
44236,Netherlands
44236,Oman
44236,Philippines
44236,Qatar
44236,Seychelles
44236,"South Africa"
44236,"Sri Lanka"
44236,Tanzania
44236,Thailand
44236,"United States of America"
44237,Argentina
44237,Brazil
44237,Egypt
44237,Gibraltar
44237,"Hong Kong Special Administrative Region"
44237,India
44237,Kenya
44237,Madagascar
44237,Malaysia
44237,Maldives
44237,Malta
44237,Mauritius
44237,Mexico
44237,Netherlands
44237,Oman
44237,Philippines
44237,Qatar
44237,Seychelles
44237,"South Africa"
44237,"Sri Lanka"
44237,Tanzania
44237,Thailand
44237,"United States of America"
44238,Argentina
44238,Brazil
44238,Egypt
44238,Gibraltar
44238,"Hong Kong Special Administrative Region"
44238,India
44238,Kenya
44238,Madagascar
44238,Malaysia
44238,Maldives
44238,Malta
44238,Mauritius
44238,Mexico
44238,Netherlands
44238,Oman
44238,Philippines
44238,Qatar
44238,Seychelles
44238,"South Africa"
44238,"Sri Lanka"
44238,Tanzania
44238,Thailand
44238,"United States of America"
44239,Argentina
44239,Brazil
44239,Egypt
44239,Gibraltar
44239,"Hong Kong Special Administrative Region"
44239,India
44239,Kenya
44239,Madagascar
44239,Malaysia
44239,Maldives
44239,Malta
44239,Mauritius
44239,Mexico
44239,Netherlands
44239,Oman
44239,Philippines
44239,Qatar
44239,Seychelles
44239,"South Africa"
44239,"Sri Lanka"
44239,Tanzania
44239,Thailand
44239,"United States of America"
44240,Argentina
44240,Brazil
44240,Egypt
44240,Gibraltar
44240,"Hong Kong Special Administrative Region"
44240,India
44240,Kenya
44240,Madagascar
44240,Malaysia
44240,Maldives
44240,Malta
44240,Mauritius
44240,Mexico
44240,Netherlands
44240,Oman
44240,Philippines
44240,Qatar
44240,Seychelles
44240,"South Africa"
44240,"Sri Lanka"
44240,Tanzania
44240,Thailand
44240,"United States of America"
44241,Argentina
44241,Brazil
44241,Egypt
44241,Gibraltar
44241,"Hong Kong Special Administrative Region"
44241,India
44241,Kenya
44241,Madagascar
44241,Malaysia
44241,Maldives
44241,Malta
44241,Mauritius
44241,Mexico
44241,Netherlands
44241,Oman
44241,Philippines
44241,Qatar
44241,Seychelles
44241,"South Africa"
44241,"Sri Lanka"
44241,Tanzania
44241,Thailand
44241,"United States of America"
44242,Argentina
44242,Brazil
44242,Egypt
44242,Gibraltar
44242,"Hong Kong Special Administrative Region"
44242,India
44242,Kenya
44242,Madagascar
44242,Malaysia
44242,Maldives
44242,Malta
44242,Mauritius
44242,Mexico
44242,Netherlands
44242,Oman
44242,Philippines
44242,Qatar
44242,Seychelles
44242,"South Africa"
44242,"Sri Lanka"
44242,Tanzania
44242,Thailand
44242,"United States of America"
44243,Argentina
44243,Brazil
44243,Egypt
44243,Gibraltar
44243,"Hong Kong Special Administrative Region"
44243,India
44243,Kenya
44243,Madagascar
44243,Malaysia
44243,Maldives
44243,Malta
44243,Mauritius
44243,Mexico
44243,Netherlands
44243,Oman
44243,Philippines
44243,Qatar
44243,Seychelles
44243,"South Africa"
44243,"Sri Lanka"
44243,Tanzania
44243,Thailand
44243,"United States of America"
44244,Argentina
44244,Brazil
44244,Egypt
44244,Gibraltar
44244,"Hong Kong Special Administrative Region"
44244,India
44244,Kenya
44244,Madagascar
44244,Malaysia
44244,Maldives
44244,Malta
44244,Mauritius
44244,Mexico
44244,Netherlands
44244,Oman
44244,Philippines
44244,Qatar
44244,Seychelles
44244,"South Africa"
44244,"Sri Lanka"
44244,Tanzania
44244,Thailand
44244,"United States of America"
44245,Argentina
44245,Brazil
44245,Egypt
44245,Gibraltar
44245,"Hong Kong Special Administrative Region"
44245,India
44245,Kenya
44245,Madagascar
44245,Malaysia
44245,Maldives
44245,Malta
44245,Mauritius
44245,Mexico
44245,Netherlands
44245,Oman
44245,Philippines
44245,Qatar
44245,Seychelles
44245,"South Africa"
44245,"Sri Lanka"
44245,Tanzania
44245,Thailand
44245,"United States of America"
44246,Argentina
44246,Brazil
44246,Egypt
44246,Gibraltar
44246,"Hong Kong Special Administrative Region"
44246,India
44246,Kenya
44246,Madagascar
44246,Malaysia
44246,Maldives
44246,Malta
44246,Mauritius
44246,Mexico
44246,Netherlands
44246,Oman
44246,Philippines
44246,Qatar
44246,Seychelles
44246,"South Africa"
44246,"Sri Lanka"
44246,Tanzania
44246,Thailand
44246,"United States of America"
44247,Argentina
44247,Brazil
44247,Egypt
44247,Gibraltar
44247,"Hong Kong Special Administrative Region"
44247,India
44247,Kenya
44247,Madagascar
44247,Malaysia
44247,Maldives
44247,Malta
44247,Mauritius
44247,Mexico
44247,Netherlands
44247,Oman
44247,Philippines
44247,Qatar
44247,Seychelles
44247,"South Africa"
44247,"Sri Lanka"
44247,Tanzania
44247,Thailand
44247,"United States of America"
44248,Argentina
44248,Brazil
44248,Egypt
44248,Gibraltar
44248,"Hong Kong Special Administrative Region"
44248,India
44248,Kenya
44248,Madagascar
44248,Malaysia
44248,Maldives
44248,Malta
44248,Mauritius
44248,Mexico
44248,Netherlands
44248,Oman
44248,Philippines
44248,Qatar
44248,Seychelles
44248,"South Africa"
44248,"Sri Lanka"
44248,Tanzania
44248,Thailand
44248,"United States of America"
44249,Argentina
44249,Brazil
44249,Egypt
44249,Gibraltar
44249,"Hong Kong Special Administrative Region"
44249,India
44249,Kenya
44249,Madagascar
44249,Malaysia
44249,Maldives
44249,Malta
44249,Mauritius
44249,Mexico
44249,Netherlands
44249,Oman
44249,Philippines
44249,Qatar
44249,Seychelles
44249,"South Africa"
44249,"Sri Lanka"
44249,Tanzania
44249,Thailand
44249,"United States of America"
44250,Argentina
44250,Brazil
44250,Egypt
44250,Gibraltar
44250,"Hong Kong Special Administrative Region"
44250,India
44250,Kenya
44250,Madagascar
44250,Malaysia
44250,Maldives
44250,Malta
44250,Mauritius
44250,Mexico
44250,Netherlands
44250,Oman
44250,Philippines
44250,Qatar
44250,Seychelles
44250,"South Africa"
44250,"Sri Lanka"
44250,Tanzania
44250,Thailand
44250,"United States of America"
44251,Argentina
44251,Brazil
44251,Egypt
44251,Gibraltar
44251,"Hong Kong Special Administrative Region"
44251,India
44251,Kenya
44251,Madagascar
44251,Malaysia
44251,Maldives
44251,Malta
44251,Mauritius
44251,Mexico
44251,Netherlands
44251,Oman
44251,Philippines
44251,Qatar
44251,Seychelles
44251,"South Africa"
44251,"Sri Lanka"
44251,Tanzania
44251,Thailand
44251,"United States of America"
44252,Argentina
44252,Brazil
44252,Egypt
44252,Gibraltar
44252,"Hong Kong Special Administrative Region"
44252,India
44252,Kenya
44252,Madagascar
44252,Malaysia
44252,Maldives
44252,Malta
44252,Mauritius
44252,Mexico
44252,Netherlands
44252,Oman
44252,Philippines
44252,Qatar
44252,Seychelles
44252,"South Africa"
44252,"Sri Lanka"
44252,Tanzania
44252,Thailand
44252,"United States of America"
44253,"South Africa"
44254,Djibouti
44254,Egypt
44254,Kenya
44254,Malaysia
44254,Maldives
44254,Malta
44254,Mauritius
44254,Mozambique
44254,Oman
44254,Seychelles
44254,Singapore
44254,"South Africa"
44254,"Sri Lanka"
44254,Tanzania
44255,"South Africa"
44256,Djibouti
44256,Egypt
44256,Kenya
44256,Malaysia
44256,Maldives
44256,Malta
44256,Mauritius
44256,Mozambique
44256,Oman
44256,Seychelles
44256,Singapore
44256,"South Africa"
44256,"Sri Lanka"
44256,Tanzania
44257,"South Africa"
44258,Djibouti
44258,Egypt
44258,Kenya
44258,Malaysia
44258,Maldives
44258,Malta
44258,Mauritius
44258,Mozambique
44258,Oman
44258,Seychelles
44258,Singapore
44258,"South Africa"
44258,"Sri Lanka"
44258,Tanzania
44259,Djibouti
44259,Egypt
44259,Kenya
44259,Malaysia
44259,Maldives
44259,Malta
44259,Mauritius
44259,Mozambique
44259,Oman
44259,Seychelles
44259,Singapore
44259,"South Africa"
44259,"Sri Lanka"
44259,Tanzania
44260,Djibouti
44260,Egypt
44260,Kenya
44260,Malaysia
44260,Maldives
44260,Malta
44260,Mauritius
44260,Mozambique
44260,Oman
44260,Seychelles
44260,Singapore
44260,"South Africa"
44260,"Sri Lanka"
44260,Tanzania
44261,Djibouti
44261,Egypt
44261,Kenya
44261,Malaysia
44261,Maldives
44261,Malta
44261,Mauritius
44261,Mozambique
44261,Oman
44261,Seychelles
44261,Singapore
44261,"South Africa"
44261,"Sri Lanka"
44261,Tanzania
44262,Djibouti
44262,Egypt
44262,Kenya
44262,Malaysia
44262,Maldives
44262,Malta
44262,Mauritius
44262,Mozambique
44262,Oman
44262,Seychelles
44262,Singapore
44262,"South Africa"
44262,"Sri Lanka"
44262,Tanzania
44263,Djibouti
44263,Egypt
44263,Kenya
44263,Malaysia
44263,Maldives
44263,Malta
44263,Mauritius
44263,Mozambique
44263,Oman
44263,Seychelles
44263,Singapore
44263,"South Africa"
44263,"Sri Lanka"
44263,Tanzania
44264,Djibouti
44264,Egypt
44264,Kenya
44264,Malaysia
44264,Maldives
44264,Malta
44264,Mauritius
44264,Mozambique
44264,Oman
44264,Seychelles
44264,Singapore
44264,"South Africa"
44264,"Sri Lanka"
44264,Tanzania
44265,"South Africa"
44266,"South Africa"
44267,Djibouti
44267,Egypt
44267,Kenya
44267,Malaysia
44267,Maldives
44267,Malta
44267,Mauritius
44267,Mozambique
44267,Oman
44267,Seychelles
44267,Singapore
44267,"South Africa"
44267,"Sri Lanka"
44267,Tanzania
44268,Djibouti
44268,Egypt
44268,Kenya
44268,Malaysia
44268,Maldives
44268,Malta
44268,Mauritius
44268,Mozambique
44268,Oman
44268,Seychelles
44268,Singapore
44268,"South Africa"
44268,"Sri Lanka"
44268,Tanzania
44269,Djibouti
44269,Egypt
44269,Kenya
44269,Malaysia
44269,Maldives
44269,Malta
44269,Mauritius
44269,Mozambique
44269,Oman
44269,Seychelles
44269,Singapore
44269,"South Africa"
44269,"Sri Lanka"
44269,Tanzania
44270,Djibouti
44270,Egypt
44270,Kenya
44270,Malaysia
44270,Maldives
44270,Malta
44270,Mauritius
44270,Mozambique
44270,Oman
44270,Seychelles
44270,Singapore
44270,"South Africa"
44270,"Sri Lanka"
44270,Tanzania
44271,Djibouti
44271,Egypt
44271,Kenya
44271,Malaysia
44271,Maldives
44271,Malta
44271,Mauritius
44271,Mozambique
44271,Oman
44271,Seychelles
44271,Singapore
44271,"South Africa"
44271,"Sri Lanka"
44271,Tanzania
44272,Kenya
44272,Oman
44272,"Sri Lanka"
44273,Kenya
44273,Oman
44273,"Sri Lanka"
44274,Kenya
44274,Oman
44274,"Sri Lanka"
44275,Djibouti
44275,India
44275,Kenya
44275,Madagascar
44275,Maldives
44275,Malta
44275,Mauritius
44275,Mozambique
44275,Oman
44275,"South Africa"
44275,"Sri Lanka"
44275,Tanzania
44276,Djibouti
44276,India
44276,Kenya
44276,Madagascar
44276,Maldives
44276,Malta
44276,Mauritius
44276,Mozambique
44276,Oman
44276,"South Africa"
44276,"Sri Lanka"
44276,Tanzania
44277,Djibouti
44277,India
44277,Kenya
44277,Madagascar
44277,Maldives
44277,Malta
44277,Mauritius
44277,Mozambique
44277,Oman
44277,"South Africa"
44277,"Sri Lanka"
44277,Tanzania
44278,Djibouti
44278,India
44278,Kenya
44278,Madagascar
44278,Maldives
44278,Malta
44278,Mauritius
44278,Mozambique
44278,Oman
44278,"South Africa"
44278,"Sri Lanka"
44278,Tanzania
44279,Djibouti
44279,India
44279,Kenya
44279,Madagascar
44279,Maldives
44279,Malta
44279,Mauritius
44279,Mozambique
44279,Oman
44279,"South Africa"
44279,"Sri Lanka"
44279,Tanzania
44280,Djibouti
44280,India
44280,Kenya
44280,Madagascar
44280,Maldives
44280,Malta
44280,Mauritius
44280,Mozambique
44280,Oman
44280,"South Africa"
44280,"Sri Lanka"
44280,Tanzania
44281,Djibouti
44281,India
44281,Kenya
44281,Madagascar
44281,Maldives
44281,Malta
44281,Mauritius
44281,Mozambique
44281,Oman
44281,"South Africa"
44281,"Sri Lanka"
44281,Tanzania
44282,Djibouti
44282,India
44282,Kenya
44282,Madagascar
44282,Maldives
44282,Malta
44282,Mauritius
44282,Mozambique
44282,Oman
44282,"South Africa"
44282,"Sri Lanka"
44282,Tanzania
44283,Djibouti
44283,India
44283,Kenya
44283,Madagascar
44283,Maldives
44283,Malta
44283,Mauritius
44283,Mozambique
44283,Oman
44283,"South Africa"
44283,"Sri Lanka"
44283,Tanzania
44284,Djibouti
44284,India
44284,Kenya
44284,Madagascar
44284,Maldives
44284,Malta
44284,Mauritius
44284,Mozambique
44284,Oman
44284,"South Africa"
44284,"Sri Lanka"
44284,Tanzania
44285,Malta
44285,Mauritius
44285,Oman
44285,"South Africa"
44285,"Sri Lanka"
44286,"Non Specific Country"
44287,Malta
44287,Mauritius
44287,Oman
44287,"South Africa"
44287,"Sri Lanka"
44288,Malta
44288,Mauritius
44288,Oman
44288,"South Africa"
44288,"Sri Lanka"
44289,Malta
44289,Mauritius
44289,Oman
44289,"South Africa"
44289,"Sri Lanka"
44290,Malta
44290,Mauritius
44290,Oman
44290,"South Africa"
44290,"Sri Lanka"
44291,Jordan
44292,Jordan
44293,Jordan
44294,Jordan
44295,Jordan
44296,Jordan
44297,Jordan
44298,Jordan
44299,Jordan
44300,Jordan
44301,Jordan
44302,Djibouti
44302,Malta
44302,Mauritius
44302,Oman
44302,"South Africa"
44302,"Sri Lanka"
44303,Djibouti
44303,Malta
44303,Mauritius
44303,Oman
44303,"South Africa"
44303,"Sri Lanka"
44304,Djibouti
44304,Malta
44304,Mauritius
44304,Oman
44304,"South Africa"
44304,"Sri Lanka"
44305,Djibouti
44305,Malta
44305,Mauritius
44305,Oman
44305,"South Africa"
44305,"Sri Lanka"
44306,Djibouti
44306,Malta
44306,Mauritius
44306,Oman
44306,"South Africa"
44306,"Sri Lanka"
44307,Djibouti
44307,Malta
44307,Mauritius
44307,Oman
44307,"South Africa"
44307,"Sri Lanka"
44308,Djibouti
44308,Kenya
44308,Malta
44308,Mauritius
44308,Oman
44308,"South Africa"
44308,"Sri Lanka"
44309,Djibouti
44309,Kenya
44309,Malta
44309,Mauritius
44309,Oman
44309,"South Africa"
44309,"Sri Lanka"
44310,Djibouti
44310,Kenya
